Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
Annotation Curricula to Implicitly Train Non-Expert Annotators,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).",28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).",29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).",30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).",31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).",32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).",33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,27,"2019; Klie, Eckart de Castilho, and Gurevych 2020), they bear the risk of biasing annotators towards the (possibly erroneous) suggested label (Fort and Sagot 2010).",34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.",29,2015; Sakaguchi et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.",30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.",31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.",32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.",33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,28,"At the same time, the rising popularity of large-scale datasets that are annotated by non-expert annotators (`` Bowman et al.",34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,29,2015; Sakaguchi et al.,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,29,2015; Sakaguchi et al.,31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,29,2015; Sakaguchi et al.,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,29,2015; Sakaguchi et al.,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,29,2015; Sakaguchi et al.,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.",31,2020; Rogers 2021).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,link
Annotation Curricula to Implicitly Train Non-Expert Annotators,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.",32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.",33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,30,"2020), further increases the need for better training methods targeting non-expert annotators (Geva, Goldberg, and Berant 2019; Nie et al.",34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,31,2020; Rogers 2021).,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,31,2020; Rogers 2021).,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,31,2020; Rogers 2021).,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.",33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,32,"Similarly, the goal of annotation curricula (AC) is to provide an ordering of instances during annotation that is optimized for learning the task.",34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Annotation Curricula to Implicitly Train Non-Expert Annotators,33,The learning curriculum is a fundamental concept in educational research that proposes to order exercises to match a learner's proficiency (Vygotsky 1978; Krashen 1982) and has even motivated training strategies for machine learning models (Bengio et al.,34,"are difficult to annotate, they explicitly emphasize the needs of a human annotator and gradually familiarize them with the annotation task.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Cross-lingual Annotation Projection in Legal Texts,0,"Our results indicate that a combination of word embeddings and dynamic time warping performs best.The European Union considers cultural and linguistic diversity, and in particular multilinguality, as some of its fundamental principles.",1,"So much so, that all the regulations and laws given by the Parliament are published in all of EU's twenty-four official languages.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Cross-lingual Annotation Projection in Legal Texts,0,"Our results indicate that a combination of word embeddings and dynamic time warping performs best.The European Union considers cultural and linguistic diversity, and in particular multilinguality, as some of its fundamental principles.",2,"These could be an immense resource towards transparency, egalitarianism, accountability and democracy, giving the EU citizen access to legislative and policy proposals in their own and also in other languages (Steinberger et al. , 2014).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Cross-lingual Annotation Projection in Legal Texts,0,"Our results indicate that a combination of word embeddings and dynamic time warping performs best.The European Union considers cultural and linguistic diversity, and in particular multilinguality, as some of its fundamental principles.",3,"Moreover, the vast majority of linguistic resources and tools focus on English.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Cross-lingual Annotation Projection in Legal Texts,0,"Our results indicate that a combination of word embeddings and dynamic time warping performs best.The European Union considers cultural and linguistic diversity, and in particular multilinguality, as some of its fundamental principles.",4,"Likewise, the workforce of professionals needed for annotating legal documents may not be readily available in each language.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Cross-lingual Annotation Projection in Legal Texts,0,"Our results indicate that a combination of word embeddings and dynamic time warping performs best.The European Union considers cultural and linguistic diversity, and in particular multilinguality, as some of its fundamental principles.",5,"Other EU official documents published in multiple languages include, for instance, EU Parliament laws and regulations, documents of the EU Court of Justice, policy documents, documents for public consultations, and so on.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Cross-lingual Annotation Projection in Legal Texts,1,"So much so, that all the regulations and laws given by the Parliament are published in all of EU's twenty-four official languages.",2,"These could be an immense resource towards transparency, egalitarianism, accountability and democracy, giving the EU citizen access to legislative and policy proposals in their own and also in other languages (Steinberger et al. , 2014).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Cross-lingual Annotation Projection in Legal Texts,1,"So much so, that all the regulations and laws given by the Parliament are published in all of EU's twenty-four official languages.",3,"Moreover, the vast majority of linguistic resources and tools focus on English.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Cross-lingual Annotation Projection in Legal Texts,1,"So much so, that all the regulations and laws given by the Parliament are published in all of EU's twenty-four official languages.",4,"Likewise, the workforce of professionals needed for annotating legal documents may not be readily available in each language.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Cross-lingual Annotation Projection in Legal Texts,1,"So much so, that all the regulations and laws given by the Parliament are published in all of EU's twenty-four official languages.",5,"Other EU official documents published in multiple languages include, for instance, EU Parliament laws and regulations, documents of the EU Court of Justice, policy documents, documents for public consultations, and so on.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
